group_id,gids,shared_payers,total_in_kzt,hypothesis
twin-001,"[""100000000661912100"",""100000001126374100"",""100000001330685100"",""100000001609499100"",""100000002645609100"",""100000003004487100"",""100000004070318100"",""100000004299488100"",""100000004679953100"",""100000004759121100"",""100000004847758100"",""100000005610717100"",""100000005830339100"",""100000006734214100"",""100000007055802100"",""100000007639767100"",""100000008304139100"",""100000008560717100"",""100000008686313100""]","[""100000000331309100"",""100000000437046100"",""100000002957787100"",""100000003242289100"",""100000004400305100"",""100000006866783100"",""100000008413748100"",""100000008477350100"",""100000008603629100""]",13447849.78,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-002,"[""100000002343825100"",""100000002547110100"",""100000008547948100""]","[""100000008465789100"",""100000008466579100"",""100000008489922100"",""100000008547844100""]",2062665,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-003,"[""100000002369874100"",""100000002849158100""]","[""100000008512827100"",""100000008547948100"",""100000008710791100""]",1323000,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-004,"[""100000002731501100"",""100000003616818100""]","[""100000004005964100"",""100000004007116100"",""100000004160650100""]",648370,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-005,"[""100000003111305100"",""100000004997515100""]","[""100000006240939100"",""100000008465789100"",""100000008489922100""]",904338,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-006,"[""100000003115284100"",""100000006889963100"",""100000007908818100""]","[""100000000331309100"",""100000000343175100"",""100000000437046100"",""100000001857829100"",""100000003684369100"",""100000008165763100""]",4318975,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-007,"[""100000003528285100"",""100000006788200100""]","[""100000004400305100"",""100000008603629100"",""100000008731444100""]",391025.8,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-008,"[""100000003684369100"",""100000008165763100""]","[""100000000089154100"",""100000003213473100"",""100000003582677100"",""100000003796063100"",""100000003880331100"",""100000004070318100"",""100000004077081100"",""100000004140487100"",""100000004358004100"",""100000004847758100"",""100000005910114100"",""100000008223661100"",""100000008748914100""]",5014251,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
twin-009,"[""100000005910114100"",""100000007593823100""]","[""100000004400305100"",""100000008346837100"",""100000008477350100""]",351144,Accounts receiving from the same collectors — possibly one controller or deliberate split of proceeds; review together
